Localidade;Rede;Taxa de Aprovação - 2015;Taxa de Aprovação - 2017;Taxa de Aprovação - 2019;SAEB - 2015;SAEB - 2017;SAEB - 2019;IDEB 2015;IDEB 2017;IDEB 2019;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Castilho;Pública;0,99;0,99;0,98;6,57;7,00;6,58;6,5;6,9;6,5;6,0;6,3;6,5;6,7;1º ao 5º ano;3511003
Catanduva;Estadual;;;;;;;;;;6,3;6,5;6,8;7,0;1º ao 5º ano;3511102
Catanduva;Municipal;0,98;0,99;0,99;7,04;7,00;6,73;6,9;7,0;6,7;5,2;5,5;5,8;6,1;1º ao 5º ano;3511102
Catanduva;Pública;0,98;0,99;0,99;7,04;7,00;6,73;6,9;7,0;6,7;6,0;6,2;6,5;6,7;1º ao 5º ano;3511102
Catiguá;Estadual;;;;;;;;;;5,7;5,9;6,2;6,4;1º ao 5º ano;3511201
Catiguá;Municipal;0,98;0,98;0,99;6,07;6,58;7,35;6,0;6,4;7,3;5,6;5,9;6,1;6,4;1º ao 5º ano;3511201
Catiguá;Pública;0,98;0,98;0,99;6,07;6,58;7,35;6,0;6,4;7,3;5,7;5,9;6,2;6,4;1º ao 5º ano;3511201
Cedral;Municipal;0,95;0,95;0,97;7,24;7,18;7,12;6,9;6,8;6,9;6,7;6,9;7,1;7,3;1º ao 5º ano;3511300
Cedral;Pública;0,95;0,95;0,97;7,24;7,18;7,12;6,9;6,8;6,9;6,7;6,9;7,1;7,3;1º ao 5º ano;3511300
Cerqueira César;Municipal;0,99;0,99;0,99;6,23;6,50;6,46;6,2;6,4;6,4;6,1;6,3;6,6;6,8;1º ao 5º ano;3511409
Cerqueira César;Pública;0,99;0,99;0,99;6,23;6,50;6,46;6,2;6,4;6,4;6,1;6,3;6,6;6,8;1º ao 5º ano;3511409
Cerquilho;Municipal;0,99;1,00;1,00;7,19;7,60;7,38;7,1;7,6;7,4;6,6;6,8;7,0;7,2;1º ao 5º ano;3511508
Cerquilho;Pública;0,99;1,00;1,00;7,19;7,60;7,38;7,1;7,6;7,4;6,6;6,8;7,0;7,2;1º ao 5º ano;3511508
Cesário Lange;Municipal;0,93;0,93;0,92;6,38;6,78;6,95;5,9;6,3;6,4;5,8;6,0;6,3;6,5;1º ao 5º ano;3511607
Cesário Lange;Pública;0,93;0,93;0,92;6,38;6,78;6,95;5,9;6,3;6,4;5,8;6,0;6,3;6,5;1º ao 5º ano;3511607
Charqueada;Municipal;0,99;0,98;0,99;6,57;6,80;6,70;6,5;6,7;6,6;6,1;6,3;6,5;6,8;1º ao 5º ano;3511706
Charqueada;Pública;0,99;0,98;0,99;6,57;6,80;6,70;6,5;6,7;6,6;6,1;6,3;6,5;6,8;1º ao 5º ano;3511706
Clementina;Municipal;0,97;0,97;0,95;7,41;7,05;6,62;7,2;6,8;6,3;6,1;6,3;6,5;6,8;1º ao 5º ano;3511904
Clementina;Pública;0,97;0,97;0,95;7,41;7,05;6,62;7,2;6,8;6,3;6,1;6,3;6,5;6,8;1º ao 5º ano;3511904
Colina;Estadual;;;;;;;;;;5,8;6,1;6,3;6,5;1º ao 5º ano;3512001
Colina;Municipal;0,97;0,98;0,98;6,08;6,48;6,72;5,9;6,3;6,6;6,0;6,2;6,5;6,7;1º ao 5º ano;3512001
Colina;Pública;0,97;0,98;0,98;6,08;6,48;6,72;5,9;6,3;6,6;5,9;6,2;6,4;6,6;1º ao 5º ano;3512001
Colômbia;Municipal;0,95;0,92;1,00;6,71;7,31;6,79;6,4;6,8;6,8;6,0;6,2;6,5;6,7;1º ao 5º ano;3512100
Colômbia;Pública;0,95;0,92;1,00;6,71;7,31;6,79;6,4;6,8;6,8;6,0;6,2;6,5;6,7;1º ao 5º ano;3512100
Conchal;Municipal;0,98;0,99;0,97;6,22;6,59;6,84;6,1;6,5;6,6;6,0;6,3;6,5;6,8;1º ao 5º ano;3512209
Conchal;Pública;0,98;0,99;0,97;6,22;6,59;6,84;6,1;6,5;6,6;6,0;6,3;6,5;6,8;1º ao 5º ano;3512209
Conchas;Estadual;0,99;0,99;;5,89;5,78;;5,9;5,8;;5,8;6,1;6,3;6,6;1º ao 5º ano;3512308
Conchas;Municipal;0,99;0,99;1,00;6,01;6,10;6,90;6,0;6,1;6,9;6,0;6,2;6,5;6,7;1º ao 5º ano;3512308
Conchas;Pública;0,99;0,99;1,00;5,98;6,00;6,90;5,9;6,0;6,9;5,9;6,2;6,4;6,7;1º ao 5º ano;3512308
Cordeirópolis;Municipal;0,95;0,96;0,98;6,58;7,00;7,15;6,3;6,7;7,0;6,0;6,2;6,5;6,7;1º ao 5º ano;3512407
Cordeirópolis;Pública;0,95;0,96;0,98;6,58;7,00;7,15;6,3;6,7;7,0;6,0;6,2;6,5;6,7;1º ao 5º ano;3512407
Coroados;Municipal;0,99;0,98;0,98;6,28;7,45;7,39;6,2;7,3;7,3;6,0;6,2;6,5;6,7;1º ao 5º ano;3512506
Coroados;Pública;0,99;0,98;0,98;6,28;7,45;7,39;6,2;7,3;7,3;6,0;6,2;6,5;6,7;1º ao 5º ano;3512506
Coronel Macedo;Estadual;;;;;;;;;;6,2;6,4;6,6;6,9;1º ao 5º ano;3512605
Coronel Macedo;Municipal;0,98;0,96;1,00;5,71;6,53;6,40;5,6;6,3;6,4;5,7;5,9;6,2;6,4;1º ao 5º ano;3512605
