Localidade;Rede;Taxa de Aprovação - 2015;Taxa de Aprovação - 2017;Taxa de Aprovação - 2019;SAEB - 2015;SAEB - 2017;SAEB - 2019;IDEB 2015;IDEB 2017;IDEB 2019;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Igaraçu do Tietê;Pública;0,89;0,90;0,94;4,20;4,54;4,43;3,7;4,1;4,2;5,7;5,9;6,1;6,4;6º ao 9º ano;3520004
Igarapava;Municipal;0,93;0,88;0,94;4,57;4,59;4,87;4,3;4,0;4,6;4,8;5,0;5,3;5,6;6º ao 9º ano;3520103
Igarapava;Pública;0,93;0,88;0,94;4,57;4,59;4,87;4,3;4,0;4,6;4,8;5,0;5,3;5,6;6º ao 9º ano;3520103
Igaratá;Estadual;0,93;0,93;0,95;5,11;5,71;5,42;4,7;5,3;5,2;5,7;5,9;6,1;6,4;6º ao 9º ano;3520202
Igaratá;Municipal;;0,95;;;;;;;;;;;;6º ao 9º ano;3520202
Igaratá;Pública;0,91;0,94;0,94;5,11;5,71;5,42;4,6;5,4;5,1;5,7;5,9;6,1;6,4;6º ao 9º ano;3520202
Iguape;Estadual;0,95;0,98;1,00;5,27;5,31;4,98;5,0;5,2;5,0;4,9;5,1;5,4;5,6;6º ao 9º ano;3520301
Iguape;Pública;0,95;0,98;1,00;5,27;5,31;4,98;5,0;5,2;5,0;4,9;5,1;5,4;5,6;6º ao 9º ano;3520301
Ilhabela;Estadual;;;;;;;;;;5,3;5,5;5,7;6,0;6º ao 9º ano;3520400
Ilhabela;Municipal;0,95;0,98;0,97;5,15;5,15;5,31;4,9;5,1;5,2;5,1;5,4;5,6;5,9;6º ao 9º ano;3520400
Ilhabela;Pública;0,95;0,98;0,97;5,15;5,15;5,31;4,9;5,1;5,2;5,3;5,5;5,7;6,0;6º ao 9º ano;3520400
Ilha Comprida;Municipal;0,98;0,98;0,99;5,33;5,33;5,72;5,2;5,2;5,7;5,1;5,4;5,6;5,9;6º ao 9º ano;3520426
Ilha Comprida;Pública;0,98;0,98;0,99;5,33;5,33;5,72;5,2;5,2;5,7;5,1;5,4;5,6;5,9;6º ao 9º ano;3520426
Ilha Solteira;Estadual;0,99;0,99;0,98;5,55;5,77;5,80;5,5;5,7;5,7;5,7;6,0;6,2;6,4;6º ao 9º ano;3520442
Ilha Solteira;Pública;0,99;0,99;0,98;5,55;5,77;5,80;5,5;5,7;5,7;5,7;6,0;6,2;6,4;6º ao 9º ano;3520442
Indaiatuba;Estadual;0,96;0,96;0,97;5,44;5,50;5,71;5,2;5,3;5,5;5,5;5,8;6,0;6,2;6º ao 9º ano;3520509
Indaiatuba;Pública;0,96;0,96;0,97;5,44;5,50;5,71;5,2;5,3;5,5;5,5;5,8;6,0;6,2;6º ao 9º ano;3520509
Indiana;Estadual;0,98;0,96;0,97;5,11;5,83;6,03;5,0;5,6;5,8;5,1;5,4;5,6;5,9;6º ao 9º ano;3520608
Indiana;Pública;0,98;0,96;0,97;5,11;5,83;6,03;5,0;5,6;5,8;5,1;5,4;5,6;5,9;6º ao 9º ano;3520608
Indiaporã;Estadual;0,92;0,94;0,99;5,03;5,73;6,50;4,6;5,4;6,4;5,3;5,6;5,8;6,0;6º ao 9º ano;3520707
Indiaporã;Pública;0,92;0,94;0,99;5,03;5,73;6,50;4,6;5,4;6,4;5,3;5,6;5,8;6,0;6º ao 9º ano;3520707
Inúbia Paulista;Estadual;0,97;0,95;0,98;4,89;5,64;5,36;4,7;5,4;5,3;5,5;5,7;6,0;6,2;6º ao 9º ano;3520806
Inúbia Paulista;Pública;0,97;0,95;0,98;4,89;5,64;5,36;4,7;5,4;5,3;5,5;5,7;6,0;6,2;6º ao 9º ano;3520806
Ipaussu;Estadual;;;;;;;;;;4,7;4,9;5,2;5,4;6º ao 9º ano;3520905
Ipaussu;Municipal;0,91;0,91;0,96;5,89;5,53;5,84;5,3;5,0;5,6;4,3;4,6;4,9;5,1;6º ao 9º ano;3520905
Ipaussu;Pública;0,91;0,91;0,96;5,89;5,53;5,84;5,3;5,0;5,6;4,7;4,9;5,2;5,5;6º ao 9º ano;3520905
Iperó;Municipal;0,88;0,93;0,91;4,74;5,07;5,36;4,2;4,7;4,9;4,7;5,0;5,2;5,5;6º ao 9º ano;3521002
Iperó;Pública;0,88;0,93;0,91;4,74;5,07;5,36;4,2;4,7;4,9;4,7;5,0;5,2;5,5;6º ao 9º ano;3521002
Ipeúna;Estadual;0,97;0,98;1,00;5,19;5,38;5,59;5,1;5,3;5,6;5,5;5,7;5,9;6,2;6º ao 9º ano;3521101
Ipeúna;Pública;0,97;0,98;1,00;5,19;5,38;5,59;5,1;5,3;5,6;5,5;5,7;5,9;6,2;6º ao 9º ano;3521101
Ipiguá;Estadual;0,97;0,93;0,97;5,04;5,06;5,65;4,9;4,7;5,5;4,7;4,9;5,2;5,5;6º ao 9º ano;3521150
Ipiguá;Pública;0,97;0,93;0,97;5,04;5,06;5,65;4,9;4,7;5,5;4,7;4,9;5,2;5,5;6º ao 9º ano;3521150
Iporanga;Estadual;0,95;0,99;0,99;5,01;5,04;5,39;4,8;5,0;5,3;6,4;6,6;6,8;7,0;6º ao 9º ano;3521200
Iporanga;Municipal;;0,97;;;;;;;;;;;;6º ao 9º ano;3521200
Iporanga;Pública;0,95;0,98;0,99;5,01;5,04;5,39;4,8;5,0;5,3;6,4;6,6;6,8;7,0;6º ao 9º ano;3521200
Ipuã;Municipal;0,92;0,92;0,95;5,42;5,17;5,38;5,0;4,8;5,1;5,0;5,2;5,5;5,7;6º ao 9º ano;3521309
Ipuã;Pública;0,92;0,92;0,95;5,42;5,17;5,38;5,0;4,8;5,1;5,0;5,2;5,5;5,7;6º ao 9º ano;3521309
Iracemápolis;Estadual;0,98;0,93;0,99;5,48;5,49;5,90;5,4;5,1;5,8;5,9;6,2;6,4;6,6;6º ao 9º ano;3521408
Iracemápolis;Pública;0,98;0,93;0,99;5,48;5,49;5,90;5,4;5,1;5,8;5,9;6,2;6,4;6,6;6º ao 9º ano;3521408
Irapuã;Estadual;0,97;0,98;1,00;4,93;5,35;5,66;4,8;5,2;5,7;5,1;5,4;5,6;5,8;6º ao 9º ano;3521507
Irapuã;Pública;0,97;0,98;1,00;4,93;5,35;5,66;4,8;5,2;5,7;5,1;5,4;5,6;5,8;6º ao 9º ano;3521507
Irapuru;Estadual;0,97;0,83;0,92;5,15;5,19;5,12;5,0;4,3;4,7;5,6;5,8;6,1;6,3;6º ao 9º ano;3521606
Irapuru;Pública;0,97;0,83;0,92;5,15;5,19;5,12;5,0;4,3;4,7;5,6;5,8;6,1;6,3;6º ao 9º ano;3521606
Itaberá;Estadual;0,96;0,97;0,97;5,48;5,49;5,43;5,3;5,3;5,3;5,4;5,6;5,9;6,1;6º ao 9º ano;3521705
Itaberá;Pública;0,96;0,97;0,97;5,48;5,49;5,43;5,3;5,3;5,3;5,4;5,6;5,9;6,1;6º ao 9º ano;3521705
Itaí;Estadual;0,92;0,91;0,97;4,89;5,06;5,40;4,5;4,6;5,3;5,0;5,2;5,5;5,7;6º ao 9º ano;3521804
Itaí;Pública;0,92;0,91;0,97;4,89;5,06;5,40;4,5;4,6;5,3;5,0;5,2;5,5;5,7;6º ao 9º ano;3521804
Itajobi;Estadual;;;;;;;;;;5,3;5,5;5,7;6,0;6º ao 9º ano;3521903
Itajobi;Municipal;0,97;0,94;0,98;5,99;6,22;6,41;5,8;5,8;6,3;5,8;6,1;6,3;6,5;6º ao 9º ano;3521903
Itajobi;Pública;0,97;0,94;0,98;5,99;6,22;6,41;5,8;5,8;6,3;5,3;5,5;5,7;6,0;6º ao 9º ano;3521903
Itaju;Estadual;0,99;0,98;0,98;5,48;5,63;5,51;5,4;5,5;5,4;5,6;5,8;6,1;6,3;6º ao 9º ano;3522000
Itaju;Pública;0,99;0,98;0,98;5,48;5,63;5,51;5,4;5,5;5,4;5,6;5,8;6,1;6,3;6º ao 9º ano;3522000
Itanhaém;Estadual;0,90;0,91;0,94;5,06;5,10;5,42;4,5;4,6;5,1;5,2;5,4;5,7;5,9;6º ao 9º ano;3522109
Itanhaém;Municipal;0,90;0,93;0,97;5,25;5,44;5,62;4,7;5,0;5,4;5,1;5,4;5,6;5,9;6º ao 9º ano;3522109
Itanhaém;Pública;0,90;0,92;0,96;5,18;5,34;5,57;4,7;4,9;5,3;5,1;5,4;5,6;5,9;6º ao 9º ano;3522109
Itaoca;Estadual;0,99;0,99;0,99;4,91;5,76;5,65;4,9;5,7;5,6;5,0;5,2;5,5;5,7;6º ao 9º ano;3522158
Itaoca;Pública;0,99;0,99;0,99;4,91;5,76;5,65;4,9;5,7;5,6;5,0;5,2;5,5;5,7;6º ao 9º ano;3522158
Itapecerica da Serra;Estadual;0,94;0,95;0,98;5,09;5,17;5,43;4,8;4,9;5,3;5,2;5,4;5,7;5,9;6º ao 9º ano;3522208
Itapecerica da Serra;Pública;0,94;0,95;0,98;5,09;5,17;5,43;4,8;4,9;5,3;5,2;5,4;5,7;5,9;6º ao 9º ano;3522208
Itapetininga;Estadual;0,98;0,96;0,98;5,41;5,51;5,54;5,3;5,3;5,4;5,2;5,5;5,7;6,0;6º ao 9º ano;3522307
Itapetininga;Municipal;0,96;;;5,67;;;5,5;;;;5,7;5,9;6,1;6º ao 9º ano;3522307
Itapetininga;Pública;0,98;0,96;0,98;5,44;5,51;5,54;5,3;5,3;5,4;5,2;5,5;5,7;6,0;6º ao 9º ano;3522307
Itapeva;Estadual;0,97;0,98;;5,69;6,01;;5,5;5,9;;5,5;5,8;6,0;6,2;6º ao 9º ano;3522406
Itapeva;Municipal;0,96;0,98;0,98;5,00;5,44;5,71;4,8;5,3;5,6;5,7;5,9;6,2;6,4;6º ao 9º ano;3522406
Itapeva;Pública;0,96;0,98;0,98;5,05;5,53;5,71;4,9;5,4;5,6;5,7;5,9;6,1;6,3;6º ao 9º ano;3522406
Itapevi;Estadual;0,91;0,90;0,95;4,76;4,79;5,15;4,4;4,3;4,9;4,8;5,1;5,4;5,6;6º ao 9º ano;3522505
Itapevi;Municipal;0,93;0,94;;4,68;4,77;;4,3;4,5;;5,0;5,2;5,4;5,7;6º ao 9º ano;3522505
Itapevi;Pública;0,92;0,90;0,95;4,75;4,79;5,15;4,4;4,3;4,9;4,9;5,1;5,4;5,6;6º ao 9º ano;3522505
Itapira;Estadual;0,91;0,88;0,91;5,28;5,45;5,56;4,8;4,8;5,1;5,4;5,7;5,9;6,1;6º ao 9º ano;3522604
Itapira;Pública;0,91;0,88;0,91;5,28;5,45;5,56;4,8;4,8;5,1;5,4;5,7;5,9;6,1;6º ao 9º ano;3522604
Itapirapuã Paulista;Estadual;0,97;0,97;0,97;4,74;5,10;5,09;4,6;4,9;4,9;5,4;5,6;5,9;6,1;6º ao 9º ano;3522653
Itapirapuã Paulista;Pública;0,97;0,97;0,97;4,74;5,10;5,09;4,6;4,9;4,9;5,4;5,6;5,9;6,1;6º ao 9º ano;3522653
Itápolis;Estadual;0,98;0,98;0,99;5,45;5,38;5,69;5,3;5,3;5,6;5,7;5,9;6,2;6,4;6º ao 9º ano;3522703
Itápolis;Municipal;1,00;0,99;1,00;6,43;6,51;6,89;6,4;6,4;6,9;6,8;6,9;7,1;7,3;6º ao 9º ano;3522703
Itápolis;Pública;0,98;0,98;0,99;5,56;5,53;5,85;5,5;5,4;5,8;5,7;5,9;6,2;6,4;6º ao 9º ano;3522703
Itaporanga;Estadual;0,89;0,91;0,96;4,96;5,23;5,01;4,4;4,8;4,8;5,3;5,6;5,8;6,0;6º ao 9º ano;3522802
Itaporanga;Pública;0,89;0,91;0,96;4,96;5,23;5,01;4,4;4,8;4,8;5,3;5,6;5,8;6,0;6º ao 9º ano;3522802
Itapuí;Estadual;0,92;0,97;0,97;4,87;5,01;4,94;4,5;4,9;4,8;4,4;4,7;4,9;5,2;6º ao 9º ano;3522901
Itapuí;Pública;0,92;0,97;0,97;4,87;5,01;4,94;4,5;4,9;4,8;4,4;4,7;4,9;5,2;6º ao 9º ano;3522901
Itapura;Estadual;0,97;0,98;0,97;4,99;5,07;;4,9;5,0;;5,7;5,9;6,2;6,4;6º ao 9º ano;3523008
Itapura;Pública;0,97;0,98;0,97;4,99;5,07;;4,9;5,0;;5,7;5,9;6,2;6,4;6º ao 9º ano;3523008
Itaquaquecetuba;Estadual;0,94;0,92;0,95;4,68;4,70;5,04;4,4;4,3;4,8;4,6;4,8;5,1;5,3;6º ao 9º ano;3523107
Itaquaquecetuba;Pública;0,94;0,92;0,95;4,68;4,70;5,04;4,4;4,3;4,8;4,6;4,8;5,1;5,3;6º ao 9º ano;3523107
Itararé;Estadual;0,98;0,97;0,97;4,82;5,68;5,64;4,7;5,5;5,5;5,3;5,6;5,8;6,0;6º ao 9º ano;3523206
Itararé;Municipal;0,91;0,86;0,94;4,54;4,47;5,24;4,1;3,9;4,9;5,1;5,4;5,6;5,9;6º ao 9º ano;3523206
Itararé;Pública;0,96;0,94;0,96;4,75;5,47;5,57;4,6;5,2;5,4;5,2;5,4;5,7;5,9;6º ao 9º ano;3523206
Itariri;Estadual;0,93;0,91;0,98;4,55;4,81;4,76;4,2;4,4;4,7;5,1;5,4;5,6;5,8;6º ao 9º ano;3523305
Itariri;Pública;0,93;0,91;0,98;4,55;4,81;4,76;4,2;4,4;4,7;5,1;5,4;5,6;5,8;6º ao 9º ano;3523305
Itatiba;Municipal;0,94;0,94;0,95;5,83;6,29;6,59;5,5;5,9;6,3;5,5;5,8;6,0;6,2;6º ao 9º ano;3523404
Itatiba;Pública;0,94;0,94;0,95;5,83;6,29;6,59;5,5;5,9;6,3;5,5;5,8;6,0;6,2;6º ao 9º ano;3523404
Itatinga;Estadual;0,94;0,97;0,99;5,62;5,77;6,31;5,3;5,6;6,3;5,7;6,0;6,2;6,4;6º ao 9º ano;3523503
Itatinga;Municipal;0,66;0,91;0,95;5,49;5,25;5,41;3,7;4,8;5,2;5,2;5,4;5,7;5,9;6º ao 9º ano;3523503
Itatinga;Pública;0,81;0,94;0,98;5,57;5,57;5,96;4,5;5,2;5,8;5,5;5,7;5,9;6,2;6º ao 9º ano;3523503
Itirapina;Estadual;0,97;0,97;1,00;5,36;5,10;5,11;5,2;4,9;5,1;5,8;6,0;6,3;6,5;6º ao 9º ano;3523602
Itirapina;Municipal;0,97;0,98;0,94;4,76;5,42;4,98;4,6;5,3;4,7;4,6;4,8;5,1;5,4;6º ao 9º ano;3523602
Itirapina;Pública;0,97;0,97;0,97;5,10;5,22;5,05;5,0;5,1;4,9;5,4;5,7;5,9;6,1;6º ao 9º ano;3523602
Itirapuã;Estadual;0,89;0,88;0,96;4,95;4,76;5,05;4,4;4,2;4,8;4,9;5,1;5,4;5,6;6º ao 9º ano;3523701
Itirapuã;Pública;0,89;0,88;0,96;4,95;4,76;5,05;4,4;4,2;4,8;4,9;5,1;5,4;5,6;6º ao 9º ano;3523701
Itobi;Estadual;0,85;0,83;0,91;4,79;4,92;5,59;4,1;4,1;5,1;5,4;5,7;5,9;6,1;6º ao 9º ano;3523800
Itobi;Pública;0,85;0,83;0,91;4,79;4,92;5,59;4,1;4,1;5,1;5,4;5,7;5,9;6,1;6º ao 9º ano;3523800
Itu;Estadual;0,94;0,92;0,96;5,18;5,40;5,48;4,8;5,0;5,3;5,4;5,6;5,9;6,1;6º ao 9º ano;3523909
Itu;Municipal;0,67;;;;;;;;;5,1;5,3;5,6;5,8;6º ao 9º ano;3523909
Itu;Pública;0,94;0,92;0,96;5,18;5,40;5,48;4,8;5,0;5,3;5,4;5,6;5,8;6,1;6º ao 9º ano;3523909
Itupeva;Estadual;0,96;0,94;0,98;5,33;5,41;5,46;5,1;5,1;5,3;5,7;5,9;6,2;6,4;6º ao 9º ano;3524006
Itupeva;Pública;0,96;0,94;0,98;5,33;5,41;5,46;5,1;5,1;5,3;5,7;5,9;6,2;6,4;6º ao 9º ano;3524006
Ituverava;Municipal;0,90;0,74;0,71;5,10;4,78;5,32;4,6;3,5;3,8;4,7;5,0;5,2;5,5;6º ao 9º ano;3524105
Ituverava;Pública;0,90;0,74;0,71;5,10;4,78;5,32;4,6;3,5;3,8;4,7;5,0;5,2;5,5;6º ao 9º ano;3524105
Jaborandi;Estadual;;;;;;;;;;4,9;5,1;5,4;5,7;6º ao 9º ano;3524204
Jaborandi;Municipal;0,97;0,97;0,97;5,21;5,44;5,38;5,1;5,3;5,2;4,3;4,5;4,8;5,1;6º ao 9º ano;3524204
Jaborandi;Pública;0,97;0,97;0,97;5,21;5,44;5,38;5,1;5,3;5,2;4,9;5,1;5,4;5,7;6º ao 9º ano;3524204
Jaboticabal;Estadual;0,93;0,93;0,94;4,87;4,96;4,96;4,5;4,6;4,6;5,2;5,4;5,7;5,9;6º ao 9º ano;3524303
Jaboticabal;Municipal;0,94;0,95;0,96;5,61;5,74;5,71;5,3;5,5;5,5;5,1;5,4;5,6;5,9;6º ao 9º ano;3524303
Jaboticabal;Pública;0,93;0,94;0,94;5,07;5,17;5,16;4,7;4,8;4,9;5,2;5,4;5,7;5,9;6º ao 9º ano;3524303
Jacareí;Estadual;0,95;0,95;0,97;5,12;5,29;5,48;4,8;5,0;5,3;5,4;5,6;5,9;6,1;6º ao 9º ano;3524402
Jacareí;Pública;0,95;0,95;0,97;5,12;5,29;5,48;4,8;5,0;5,3;5,4;5,6;5,9;6,1;6º ao 9º ano;3524402
Jaci;Estadual;0,97;1,00;0,88;5,06;5,32;4,48;4,9;5,3;4,0;5,1;5,4;5,6;5,9;6º ao 9º ano;3524501
Jaci;Pública;0,97;1,00;0,88;5,06;5,32;4,48;4,9;5,3;4,0;5,1;5,4;5,6;5,9;6º ao 9º ano;3524501
Jacupiranga;Estadual;0,98;0,98;0,98;5,48;5,42;5,51;5,4;5,3;5,4;5,4;5,6;5,9;6,1;6º ao 9º ano;3524600
Jacupiranga;Pública;0,98;0,98;0,98;5,48;5,42;5,51;5,4;5,3;5,4;5,4;5,6;5,9;6,1;6º ao 9º ano;3524600
Jaguariúna;Estadual;;;;;;;;;;6,1;6,3;6,6;6,8;6º ao 9º ano;3524709
Jaguariúna;Municipal;0,97;0,99;0,99;5,95;6,48;6,46;5,8;6,4;6,4;5,5;5,7;5,9;6,2;6º ao 9º ano;3524709
Jaguariúna;Pública;0,97;0,99;0,99;5,95;6,48;6,46;5,8;6,4;6,4;5,9;6,1;6,3;6,6;6º ao 9º ano;3524709
Jales;Estadual;0,99;0,98;0,98;5,80;5,83;5,84;5,8;5,7;5,7;5,8;6,1;6,3;6,5;6º ao 9º ano;3524808
Jales;Pública;0,99;0,98;0,98;5,80;5,83;5,84;5,8;5,7;5,7;5,8;6,1;6,3;6,5;6º ao 9º ano;3524808
Jambeiro;Municipal;0,91;0,85;0,91;5,33;5,25;5,11;4,9;4,5;4,7;5,4;5,6;5,9;6,1;6º ao 9º ano;3524907
Jambeiro;Pública;0,91;0,85;0,91;5,33;5,25;5,11;4,9;4,5;4,7;5,4;5,6;5,9;6,1;6º ao 9º ano;3524907
Jandira;Estadual;0,91;0,91;0,96;4,72;4,96;4,92;4,3;4,5;4,7;5,0;5,2;5,5;5,7;6º ao 9º ano;3525003
Jandira;Pública;0,91;0,91;0,96;4,72;4,96;4,92;4,3;4,5;4,7;5,0;5,2;5,5;5,7;6º ao 9º ano;3525003
Jardinópolis;Municipal;0,97;0,96;0,93;5,02;5,05;4,81;4,9;4,9;4,5;4,5;4,7;5,0;5,3;6º ao 9º ano;3525102
Jardinópolis;Pública;0,97;0,96;0,93;5,02;5,05;4,81;4,9;4,9;4,5;4,5;4,7;5,0;5,3;6º ao 9º ano;3525102
Jarinu;Estadual;0,96;0,95;0,98;5,36;5,62;5,61;5,2;5,3;5,5;5,5;5,7;5,9;6,2;6º ao 9º ano;3525201
Jarinu;Pública;0,96;0,95;0,98;5,36;5,62;5,61;5,2;5,3;5,5;5,5;5,7;5,9;6,2;6º ao 9º ano;3525201
Jaú;Estadual;0,95;0,93;0,97;4,88;5,12;5,47;4,6;4,8;5,3;5,2;5,4;5,6;5,9;6º ao 9º ano;3525300
Jaú;Municipal;0,91;0,92;0,96;5,57;5,73;5,69;5,1;5,3;5,5;5,1;5,4;5,6;5,9;6º ao 9º ano;3525300
Jaú;Pública;0,94;0,93;0,97;4,96;5,18;5,50;4,7;4,8;5,3;5,1;5,4;5,6;5,9;6º ao 9º ano;3525300
Jeriquara;Municipal;0,95;0,96;0,95;4,94;5,39;4,98;4,7;5,2;4,7;4,2;4,5;4,8;5,0;6º ao 9º ano;3525409
Jeriquara;Pública;0,95;0,96;0,95;4,94;5,39;4,98;4,7;5,2;4,7;4,2;4,5;4,8;5,0;6º ao 9º ano;3525409
Joanópolis;Estadual;;;;;;;;;;5,6;5,8;6,0;6,3;6º ao 9º ano;3525508
Joanópolis;Municipal;0,97;0,97;0,98;5,50;5,74;5,36;5,3;5,6;5,2;5,4;5,7;5,9;6,1;6º ao 9º ano;3525508
Joanópolis;Pública;0,97;0,97;0,98;5,50;5,74;5,36;5,3;5,6;5,2;5,6;5,9;6,1;6,3;6º ao 9º ano;3525508
João Ramalho;Estadual;0,95;0,95;0,98;5,13;5,40;5,76;4,9;5,1;5,7;5,3;5,6;5,8;6,0;6º ao 9º ano;3525607
João Ramalho;Pública;0,95;0,95;0,98;5,13;5,40;5,76;4,9;5,1;5,7;5,3;5,6;5,8;6,0;6º ao 9º ano;3525607
José Bonifácio;Estadual;0,94;0,94;0,97;5,38;5,29;5,17;5,1;4,9;5,0;5,8;6,0;6,2;6,4;6º ao 9º ano;3525706
José Bonifácio;Municipal;0,98;0,97;0,98;4,87;5,13;4,91;4,8;5,0;4,8;5,2;5,5;5,7;5,9;6º ao 9º ano;3525706
José Bonifácio;Pública;0,96;0,95;0,97;5,21;5,23;5,08;5,0;5,0;4,9;5,7;6,0;6,2;6,4;6º ao 9º ano;3525706
Júlio Mesquita;Estadual;1,00;0,99;0,99;4,45;4,45;4,93;4,5;4,4;4,9;4,8;5,0;5,3;5,5;6º ao 9º ano;3525805
Júlio Mesquita;Pública;1,00;0,99;0,99;4,45;4,45;4,93;4,5;4,4;4,9;4,8;5,0;5,3;5,5;6º ao 9º ano;3525805
Jumirim;Municipal;0,91;0,99;0,98;5,50;5,55;;5,0;5,5;;5,7;5,9;6,1;6,4;6º ao 9º ano;3525854
Jumirim;Pública;0,91;0,99;0,98;5,50;5,55;;5,0;5,5;;5,7;5,9;6,1;6,4;6º ao 9º ano;3525854
Jundiaí;Estadual;0,96;0,94;0,96;5,41;5,63;5,78;5,2;5,3;5,6;5,5;5,7;5,9;6,2;6º ao 9º ano;3525904
Jundiaí;Municipal;0,98;0,99;;4,80;;;4,7;;;5,1;5,4;5,6;5,9;6º ao 9º ano;3525904
Jundiaí;Pública;0,96;0,94;0,97;5,41;5,63;5,78;5,2;5,3;5,6;5,4;5,7;5,9;6,1;6º ao 9º ano;3525904
Junqueirópolis;Estadual;0,95;0,96;0,97;5,86;6,13;6,07;5,6;5,9;5,9;5,6;5,8;6,0;6,3;6º ao 9º ano;3526001
Junqueirópolis;Pública;0,95;0,96;0,97;5,86;6,13;6,07;5,6;5,9;5,9;5,6;5,8;6,0;6,3;6º ao 9º ano;3526001
Juquiá;Estadual;0,97;0,97;0,99;4,97;5,09;5,38;4,8;5,0;5,3;5,1;5,4;5,6;5,9;6º ao 9º ano;3526100
Juquiá;Pública;0,97;0,97;0,99;4,97;5,09;5,38;4,8;5,0;5,3;5,1;5,4;5,6;5,9;6º ao 9º ano;3526100
Juquitiba;Estadual;0,95;0,98;1,00;4,94;5,44;5,23;4,7;5,3;5,2;5,1;5,4;5,6;5,9;6º ao 9º ano;3526209
Juquitiba;Municipal;;0,91;;;;;;;;;;;;6º ao 9º ano;3526209
Juquitiba;Pública;0,95;0,98;0,99;4,94;5,44;5,23;4,7;5,3;5,2;5,1;5,4;5,6;5,9;6º ao 9º ano;3526209
Lagoinha;Estadual;0,97;0,97;0,98;5,37;5,97;5,68;5,2;5,8;5,6;4,8;5,0;5,3;5,5;6º ao 9º ano;3526308
Lagoinha;Pública;0,97;0,97;0,98;5,37;5,97;5,68;5,2;5,8;5,6;4,8;5,0;5,3;5,5;6º ao 9º ano;3526308
Laranjal Paulista;Estadual;0,92;0,91;0,96;4,35;4,53;5,82;4,0;4,1;5,6;5,1;5,3;5,6;5,8;6º ao 9º ano;3526407
Laranjal Paulista;Municipal;0,94;0,90;0,91;4,91;4,63;5,25;4,6;4,2;4,8;5,6;5,8;6,1;6,3;6º ao 9º ano;3526407
Laranjal Paulista;Pública;0,94;0,90;0,92;4,79;4,61;5,43;4,5;4,2;5,0;5,1;5,4;5,6;5,9;6º ao 9º ano;3526407
Lavínia;Estadual;;;;;;;;;;5,7;5,9;6,1;6,3;6º ao 9º ano;3526506
Lavínia;Municipal;0,91;0,93;0,94;5,47;5,58;5,97;5,0;5,2;5,6;5,4;5,6;5,9;6,1;6º ao 9º ano;3526506
Lavínia;Pública;0,91;0,93;0,94;5,47;5,58;5,97;5,0;5,2;5,6;5,6;5,8;6,0;6,2;6º ao 9º ano;3526506
Lavrinhas;Estadual;0,94;0,92;0,97;4,55;4,09;;4,3;3,8;;5,9;6,1;6,4;6,6;6º ao 9º ano;3526605
Lavrinhas;Municipal;0,89;0,93;0,95;4,48;4,23;5,23;4,0;4,0;4,9;6,4;6,6;6,8;6,9;6º ao 9º ano;3526605
Lavrinhas;Pública;0,91;0,93;0,95;4,52;4,18;5,32;4,1;3,9;5,1;6,2;6,4;6,6;6,8;6º ao 9º ano;3526605
Leme;Estadual;0,96;0,97;0,97;5,23;5,50;5,65;5,0;5,3;5,5;5,5;5,8;6,0;6,2;6º ao 9º ano;3526704
Leme;Pública;0,96;0,97;0,97;5,23;5,50;5,65;5,0;5,3;5,5;5,5;5,8;6,0;6,2;6º ao 9º ano;3526704
Lençóis Paulista;Estadual;0,94;0,93;0,96;5,51;5,59;5,62;5,2;5,2;5,4;5,7;6,0;6,2;6,4;6º ao 9º ano;3526803
Lençóis Paulista;Municipal;0,95;0,96;0,96;5,84;5,63;5,66;5,6;5,4;5,5;5,4;5,6;5,9;6,1;6º ao 9º ano;3526803
Lençóis Paulista;Pública;0,95;0,94;0,96;5,62;5,61;5,64;5,3;5,3;5,4;5,7;5,9;6,1;6,3;6º ao 9º ano;3526803
Limeira;Estadual;0,93;0,93;0,96;5,18;5,37;5,65;4,8;5,0;5,4;7,3;7,4;7,6;7,7;6º ao 9º ano;3526902
Limeira;Pública;0,93;0,93;0,96;5,18;5,37;5,65;4,8;5,0;5,4;7,3;7,4;7,6;7,7;6º ao 9º ano;3526902
Lindóia;Municipal;0,88;0,74;0,91;5,83;5,25;5,77;5,1;3,9;5,2;5,1;5,4;5,6;5,9;6º ao 9º ano;3527009
Lindóia;Pública;0,88;0,74;0,91;5,83;5,25;5,77;5,1;3,9;5,2;5,1;5,4;5,6;5,9;6º ao 9º ano;3527009
Lins;Estadual;0,88;0,90;0,93;4,77;5,05;4,90;4,2;4,5;4,5;5,2;5,4;5,6;5,9;6º ao 9º ano;3527108
Lins;Pública;0,88;0,90;0,93;4,77;5,05;4,90;4,2;4,5;4,5;5,2;5,4;5,6;5,9;6º ao 9º ano;3527108
Lorena;Estadual;0,87;0,86;0,91;4,94;5,04;4,81;4,3;4,3;4,4;5,0;5,2;5,5;5,7;6º ao 9º ano;3527207
Lorena;Municipal;0,87;0,87;0,88;5,14;5,71;5,65;4,5;5,0;5,0;4,9;5,2;5,4;5,7;6º ao 9º ano;3527207
Lorena;Pública;0,87;0,86;0,90;5,00;5,28;5,13;4,4;4,6;4,6;5,0;5,2;5,5;5,7;6º ao 9º ano;3527207
