Localidade;Rede;IDEB 2015;IDEB 2017;IDEB 2019;IDEB 2021;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
ArcoÍris;Pública;;6,8;6,5;6,2;5,8;6,1;6,4;6,6;1º ao 5º ano;3503356
Arealva;Municipal;6,2;6,7;6,8;6,5;6,2;6,4;6,6;6,9;1º ao 5º ano;3503406
Arealva;Pública;6,2;6,7;6,8;6,5;6,2;6,4;6,6;6,9;1º ao 5º ano;3503406
Areias;Municipal;5,4;6,0;6,2;5,5;5,4;5,6;5,9;6,2;1º ao 5º ano;3503505
Areias;Pública;5,4;6,0;6,2;5,5;5,4;5,6;5,9;6,2;1º ao 5º ano;3503505
Areiópolis;Municipal;5,9;6,3;6,4;6,2;5,5;5,8;6,1;6,3;1º ao 5º ano;3503604
Areiópolis;Pública;5,9;6,3;6,4;6,2;5,5;5,8;6,1;6,3;1º ao 5º ano;3503604
Ariranha;Municipal;7,1;7,4;7,4;6,6;5,9;6,2;6,4;6,7;1º ao 5º ano;3503703
Ariranha;Pública;7,1;7,4;7,4;6,6;5,9;6,2;6,4;6,7;1º ao 5º ano;3503703
Artur Nogueira;Municipal;6,5;6,5;6,6;6,3;6,4;6,6;6,8;7,0;1º ao 5º ano;3503802
Artur Nogueira;Pública;6,5;6,5;6,6;6,3;6,4;6,6;6,8;7,0;1º ao 5º ano;3503802
Arujá;Estadual;;;;;6,1;6,4;6,6;6,8;1º ao 5º ano;3503901
Arujá;Municipal;6,0;6,8;7,0;6,2;6,1;6,3;6,5;6,8;1º ao 5º ano;3503901
Arujá;Pública;6,0;6,8;6,9;6,2;6,1;6,3;6,6;6,8;1º ao 5º ano;3503901
Aspásia;Estadual;;7,4;7,1;7,3;6,0;6,3;6,5;6,7;1º ao 5º ano;3503950
Aspásia;Pública;;7,4;7,1;7,3;6,0;6,3;6,5;6,7;1º ao 5º ano;3503950
Assis;Municipal;6,5;6,7;6,5;6,1;6,0;6,2;6,5;6,7;1º ao 5º ano;3504008
Assis;Pública;6,5;6,7;6,5;6,1;6,0;6,2;6,5;6,7;1º ao 5º ano;3504008
Atibaia;Estadual;7,3;7,1;7,1;6,8;6,6;6,8;7,0;7,2;1º ao 5º ano;3504107
Atibaia;Municipal;7,0;7,3;7,4;6,8;6,3;6,6;6,8;7,0;1º ao 5º ano;3504107
Atibaia;Pública;7,0;7,3;7,4;6,8;6,4;6,6;6,8;7,0;1º ao 5º ano;3504107
Auriflama;Municipal;6,9;6,7;7,2;6,7;6,6;6,8;7,0;7,2;1º ao 5º ano;3504206
Auriflama;Pública;6,9;6,7;7,2;6,7;6,6;6,8;7,0;7,2;1º ao 5º ano;3504206
Avaí;Estadual;;;;;;;;;1º ao 5º ano;3504305
Avaí;Municipal;6,1;6,5;5,6;5,5;5,7;6,0;6,3;6,5;1º ao 5º ano;3504305
Avaí;Pública;6,0;6,5;5,6;5,4;5,8;6,0;6,3;6,5;1º ao 5º ano;3504305
Avanhandava;Municipal;6,1;6,5;6,7;7,1;5,6;5,8;6,1;6,4;1º ao 5º ano;3504404
Avanhandava;Pública;6,1;6,5;6,7;7,1;5,6;5,8;6,1;6,4;1º ao 5º ano;3504404
Avaré;Estadual;;;;;5,9;6,2;6,4;6,7;1º ao 5º ano;3504503
Avaré;Municipal;6,3;6,3;6,2;5,6;5,8;6,1;6,3;6,6;1º ao 5º ano;3504503
Avaré;Pública;6,3;6,3;6,2;5,6;5,8;6,1;6,3;6,6;1º ao 5º ano;3504503
Bady Bassitt;Municipal;6,7;7,1;6,9;5,9;6,3;6,6;6,8;7,0;1º ao 5º ano;3504602
Bady Bassitt;Pública;6,7;7,1;6,9;5,9;6,3;6,6;6,8;7,0;1º ao 5º ano;3504602
Balbinos;Estadual;;;;;5,9;6,1;6,4;6,6;1º ao 5º ano;3504701
Balbinos;Municipal;;5,1;6,4;6,7;7,5;7,6;7,8;7,9;1º ao 5º ano;3504701
Balbinos;Pública;;5,1;6,4;6,7;5,9;6,1;6,4;6,6;1º ao 5º ano;3504701
Bálsamo;Municipal;6,4;6,6;7,1;6,9;6,3;6,6;6,8;7,0;1º ao 5º ano;3504800
Bálsamo;Pública;6,4;6,6;7,1;6,9;6,3;6,6;6,8;7,0;1º ao 5º ano;3504800
Bananal;Municipal;5,6;5,4;5,5;5,1;5,4;5,7;5,9;6,2;1º ao 5º ano;3504909
Bananal;Pública;5,6;5,4;5,5;5,1;5,4;5,7;5,9;6,2;1º ao 5º ano;3504909
Barão de Antonina;Estadual;;;;;;;;;1º ao 5º ano;3505005
Barão de Antonina;Municipal;6,0;7,3;6,6;6,1;6,4;6,6;6,8;7,1;1º ao 5º ano;3505005
