cod_ibge;municipio;ano;de_00a03anos;de_04e05anos;de_06a10anos;de_11a14anos;de_15a17anos;populacao_total;ate17anos;demais_idades;partic_ate17anos
3548807;São Caetano do Sul;2000;5.860;3.000;8.292;7.916;7.028;140.241;32.096;108.145;22,89
3548906;São Carlos;2000;11.643;5.878;15.405;13.432;10.955;192.639;57.313;135.326;29,75
3549003;São Francisco;2000;148;88;247;213;165;2.860;861;1.999;30,1
3549102;São João da Boa Vista;2000;4.480;2.270;6.021;5.320;4.357;77.304;22.448;54.856;29,04
3549201;São João das Duas Pontes;2000;185;85;219;187;148;2.661;824;1.837;30,97
3549250;São João de Iracema;2000;85;49;143;132;94;1.671;503;1.168;30,1
3549300;São João do Pau d'Alho;2000;128;59;162;159;130;2.185;638;1.547;29,2
3549409;São Joaquim da Barra;2000;2.590;1.361;3.510;2.970;2.504;41.530;12.935;28.595;31,15
3549508;São José da Bela Vista;2000;688;343;819;617;471;8.066;2.938;5.128;36,42
3549607;São José do Barreiro;2000;313;136;384;370;267;4.141;1.470;2.671;35,5
3549706;São José do Rio Pardo;2000;2.898;1.710;4.709;3.963;3.027;50.022;16.307;33.715;32,6
3549805;São José do Rio Preto;2000;19.846;10.268;27.489;24.318;19.775;357.705;101.696;256.009;28,43
3549904;São José dos Campos;2000;38.154;18.883;49.007;42.157;33.478;538.298;181.679;356.619;33,75
3549953;São Lourenço da Serra;2000;1.018;496;1.252;1.022;771;12.145;4.559;7.586;37,54
3550001;São Luís do Paraitinga;2000;653;392;1.002;770;629;10.424;3.446;6.978;33,06
3550100;São Manuel;2000;2.590;1.279;3.284;2.764;2.143;36.502;12.060;24.442;33,04
3550209;São Miguel Arcanjo;2000;2.508;1.277;3.326;2.751;2.029;30.743;11.891;18.852;38,68
3550308;São Paulo;2000;711.894;332.014;831.484;715.482;585.809;10.426.384;3.176.683;7.249.701;30,47
3550407;São Pedro;2000;1.862;951;2.411;2.008;1.645;27.811;8.877;18.934;31,92
3550506;São Pedro do Turvo;2000;512;256;634;515;436;6.889;2.353;4.536;34,16
3550605;São Roque;2000;4.665;2.206;5.775;5.114;4.020;66.537;21.780;44.757;32,73
3550704;São Sebastião;2000;4.558;2.236;5.548;4.530;3.591;57.745;20.463;37.282;35,44
3550803;São Sebastião da Grama;2000;836;404;1.088;978;767;12.448;4.073;8.375;32,72
3550902;São Simão;2000;909;430;1.195;1.113;851;13.658;4.498;9.160;32,93
3551009;São Vicente;2000;22.220;10.877;26.909;22.086;18.044;303.199;100.136;203.063;33,03
3551108;Sarapuí;2000;608;308;771;625;500;7.792;2.812;4.980;36,09
3551207;Sarutaiá;2000;263;141;366;306;253;3.732;1.329;2.403;35,61
3551306;Sebastianópolis do Sul;2000;104;72;207;174;143;2.546;700;1.846;27,49
3551405;Serra Azul;2000;671;298;751;641;460;7.433;2.821;4.612;37,95
3551504;Serrana;2000;2.700;1.344;3.284;2.589;2.030;32.499;11.947;20.552;36,76
3551603;Serra Negra;2000;1.401;691;1.850;1.654;1.294;23.829;6.890;16.939;28,91
3551702;Sertãozinho;2000;6.345;3.160;8.451;7.476;5.823;94.499;31.255;63.244;33,07
3551801;Sete Barras;2000;1.160;558;1.446;1.247;990;13.702;5.401;8.301;39,42
3551900;Severínia;2000;1.088;519;1.295;1.073;851;13.570;4.826;8.744;35,56
3552007;Silveiras;2000;420;185;511;468;325;5.373;1.909;3.464;35,53
3552106;Socorro;2000;1.803;952;2.583;2.280;1.826;32.684;9.444;23.240;28,89
3552205;Sorocaba;2000;34.031;16.867;43.590;37.226;29.439;492.245;161.153;331.092;32,74
3552304;Sud Mennucci;2000;496;273;712;569;426;7.363;2.476;4.887;33,63
3552403;Sumaré;2000;14.750;7.421;18.807;15.464;12.049;196.099;68.491;127.608;34,93
3552502;Suzano;2000;19.354;9.105;22.796;18.974;14.554;227.917;84.783;143.134;37,2
3552551;Suzanópolis;2000;170;91;244;208;162;2.786;875;1.911;31,41
3552601;Tabapuã;2000;570;329;858;701;599;10.488;3.057;7.431;29,15
3552700;Tabatinga;2000;883;430;1.168;1.048;796;12.967;4.325;8.642;33,35
3552809;Taboão da Serra;2000;15.679;7.257;18.122;15.522;12.636;197.247;69.216;128.031;35,09
3552908;Taciba;2000;334;198;523;413;301;5.216;1.769;3.447;33,91
3553005;Taguaí;2000;512;234;656;642;513;7.458;2.557;4.901;34,29
3553104;Taiaçu;2000;423;212;537;425;294;5.613;1.891;3.722;33,69
3553203;Taiúva;2000;300;167;482;428;313;5.503;1.690;3.813;30,71
3553302;Tambaú;2000;1.480;771;2.068;1.773;1.328;22.234;7.420;14.814;33,37
